date,old_A,new_A,category,allowed,A_verified,B_verified,evidence,A_status,A_reason
20060102,,,calendar_not_eligible,True,False,False,calendar_closed,not_in_P0,calendar_closed
20060103,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060104,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060105,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060106,-2.75,-2.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060109,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060110,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060111,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060112,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:553,unknown,missing_decision_prefix_bar:553
20060113,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060116,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060117,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060118,-3.75,-3.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060119,-2.75,-2.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060120,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:550,unknown,missing_decision_prefix_bar:550
20060123,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:549,unknown,missing_decision_prefix_bar:549
20060124,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060125,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:549,unknown,missing_decision_prefix_bar:549
20060126,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060127,9.25,9.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060130,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:547,unknown,missing_decision_prefix_bar:547
20060131,-7.0,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060201,3.25,3.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060202,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060203,-0.75,-0.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060206,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060207,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:556,unknown,missing_decision_prefix_bar:556
20060208,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060209,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060210,-2.5,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:554,unknown,missing_decision_prefix_bar:554
20060213,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060214,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:557,unknown,missing_decision_prefix_bar:557
20060215,-5.0,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:546,unknown,missing_decision_prefix_bar:546
20060216,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:557,unknown,missing_decision_prefix_bar:557
20060217,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060220,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:546,unknown,missing_decision_prefix_bar:546
20060221,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060222,-19.75,-19.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060223,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:550,unknown,missing_decision_prefix_bar:550
20060224,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060227,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060228,3.25,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:546,unknown,missing_decision_prefix_bar:546
20060301,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:556,unknown,missing_decision_prefix_bar:556
20060302,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:547,unknown,missing_decision_prefix_bar:547
20060303,-5.25,-5.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060306,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060307,-1.25,-1.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060308,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060309,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060310,-9.75,-9.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060313,-3.5,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:551,unknown,missing_decision_prefix_bar:551
20060314,-3.5,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:546,unknown,missing_decision_prefix_bar:546
20060315,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:565,unknown,missing_decision_prefix_bar:565
20060316,1.75,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:773,unknown,detector:missing_v7m_bar:773
20060317,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060320,3.75,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:747,unknown,detector:missing_v7m_bar:747
20060321,-6.0,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:550,unknown,missing_decision_prefix_bar:550
20060322,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060323,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060324,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:547,unknown,missing_decision_prefix_bar:547
20060327,-0.25,-0.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060328,1.25,1.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060329,-2.5,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:551,unknown,missing_decision_prefix_bar:551
20060330,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060331,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:557,unknown,missing_decision_prefix_bar:557
